Did you respond to the sector survey on the National Lottery Heritage Fund website?:Response,Organisation Type:Response,What is the approximate number of paid employees (full time equivalent) at your business/organisation?:Response,What is the approximate number of volunteers working with your business/organisation?:Response,Area:Archaeology,Area:Archives,Area:Community heritage,Area:Conservation Architecture/Project Management,Area:Gardens and Landscapes,Area:Historic buildings (including industrial heritage sites),Area:Intangible (e.g. cultural traditions people’s memories dialects),Area:Maritime and transport heritage,Area:Places of worship,Area:Planning,Area:Public parks,Area:My organisation does not work in or represent any heritage areas,Area:Other,Geography:All English regions,Geography:East Midlands,Geography:West Midlands,Geography:East of England,Geography:London,Geography:South East of England,Geography:South West of England,Geography:North East of England,Geography:North West of England,Geography:Yorkshire and the Humber,Effects:Loss or postponement of work,Effects:Business-critical staff absence,Effects:Lack of available volunteers,Effects:Postponement/cancellation of planned income-generating or marketing events,Effects:Reduced opening/business hours,Effects:Supply chain problems,Effects:Increased overheads,Effects:Reduced visitor numbers,Effects:Have had to furlough staff,Effects:Have had to lay staff off,Effects:Additional costs e.g.  investment in IT/home working,Effects:Delayed payment by debtors,Measures expected:Coronavirus Job Retention Scheme,Measures expected:Deferring VAT and Self-Assessment payments,Measures expected:Self-employment Income Support Scheme,Measures expected:Statutory Sick Pay relief package for small and medium sized businesses (SMEs),Measures expected:12-month business rates holiday for all retail hospitality leisure and nursery businesses in England,Measures expected:Small business grant funding of £10000 for all business in receipt of small business rate relief or rural rate relief,Measures expected:Grant funding of £25000 for retail hospitality and leisure businesses with property with a rateable value between £15000 and £51000,Measures expected:Coronavirus Business Interruption Loan Scheme offering loans of up to £5 million for SMEs through the British Business Bank,Measures expected:Lending facility from the Bank of England to help support liquidity among larger firms helping them bridge coronavirus disruption to their cash flows through loans,Measures expected:HMRC Time To Pay Scheme,Measures expected:Awaiting further clarification of the Government support,Continued operation if the current restrictions continue until September 2020 with measures:Response,Continued operation if the current restrictions continue until September 2020 without measures:Response,Level of risk:Response,Opportunities to work better:Response
No,Incorporated private sector organisation in the heritage sector,11-20,0,Archaeology,,Community heritage,Conservation Architecture/Project Management,Gardens and Landscapes,Historic buildings (including industrial heritage sites),,,Places of worship,Planning,,,,All English regions,,,,,,,,,,Loss or postponement of work,,,,Reduced opening/business hours,,,,Have had to furlough staff,,,Delayed payment by debtors,,Deferring VAT and Self-Assessment payments,,Statutory Sick Pay relief package for small and medium sized businesses (SMEs),12-month business rates holiday for all retail hospitality leisure and nursery businesses in England,Small business grant funding of £10000 for all business in receipt of small business rate relief or rural rate relief,,,,HMRC Time To Pay Scheme,,More than 6 months,More than 6 months,Minimal risk – we fully expect to be able to continue to operate,Agree
No,Sole trader or Partnership dealing in heritage products or services,1-5,0,,,Community heritage,Conservation Architecture/Project Management,Gardens and Landscapes,Historic buildings (including industrial heritage sites),,,,,,,,,,,East of England,London,South East of England,,,,,Loss or postponement of work,,,,,,,,,,,Delayed payment by debtors,,,Self-employment Income Support Scheme,,,,,,,,,More than 6 months,More than 6 months,High risk – without major intervention our business/organisation is unlikely to survive,Strongly agree
No,Charity or third sector organisation with a heritage purpose (not for profit),1-5,6-10,,,Community heritage,Conservation Architecture/Project Management,,,Intangible (e.g. cultural traditions people’s memories dialects),,Places of worship,,,,,,,,,,,,,North West of England,,Loss or postponement of work,,Lack of available volunteers,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,Supply chain problems,,Reduced visitor numbers,Have had to furlough staff,,,,Coronavirus Job Retention Scheme,,,,,,,,,,,More than 6 months,Don’t know,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Disagree
No,Faith-based or church organisation,Don’t know,Don’t know,,,,,,,,,Places of worship,,,,,,East Midlands,,,,,,,,,Loss or postponement of work,,Lack of available volunteers,Postponement/cancellation of planned income-generating or marketing events,,,,Reduced visitor numbers,Have had to furlough staff,,,,Coronavirus Job Retention Scheme,,,,12-month business rates holiday for all retail hospitality leisure and nursery businesses in England,,Grant funding of £25000 for retail hospitality and leisure businesses with property with a rateable value between £15000 and £51000,,,,Awaiting further clarification of the Government support,Don’t know,Don’t know,Minimal risk – we fully expect to be able to continue to operate,Agree
No,Incorporated private sector organisation in the heritage sector,1-5,0,,,,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),,,Places of worship,Planning,Public parks,,,All English regions,,,,,,,,,,Loss or postponement of work,,,,,,,,,,,,,,,,,,,,,,Awaiting further clarification of the Government support,More than 6 months,More than 6 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Neither agree nor disagree
Yes,Other (please specify),1-5,21-50,,,Community heritage,,,,,,,,,,,,,,,,,,North East of England,,,,,Lack of available volunteers,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,,,Reduced visitor numbers,Have had to furlough staff,,Additional costs e.g.  investment in IT/home working,,Coronavirus Job Retention Scheme,,,,,,,,,,,More than 6 months,More than 6 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Neither agree nor disagree
No,Sole trader or Partnership dealing in heritage products or services,1-5,0,,,,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),,,Places of worship,Planning,,,,,,West Midlands,,,,,,,,Loss or postponement of work,,,,Reduced opening/business hours,,Increased overheads,,,,,,,,Self-employment Income Support Scheme,,,,,,,,,3-4 months,3-4 months,High risk – without major intervention our business/organisation is unlikely to survive,Strongly disagree
No,Other (please specify),501+,Don’t know,Archaeology,Archives,Community heritage,Conservation Architecture/Project Management,Gardens and Landscapes,Historic buildings (including industrial heritage sites),,Maritime and transport heritage,Places of worship,Planning,Public parks,,,All English regions,,,,,,,,,,Loss or postponement of work,,,Postponement/cancellation of planned income-generating or marketing events,,,Increased overheads,,,,Additional costs e.g.  investment in IT/home working,,,,,,,,,,,,Awaiting further clarification of the Government support,Don’t know,Don’t know,Minimal risk – we fully expect to be able to continue to operate,Neither agree nor disagree
No,Sole trader or Partnership dealing in heritage products or services,1-5,0,,,,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),,,Places of worship,,,,,,,,,London,South East of England,,,,Yorkshire and the Humber,Loss or postponement of work,,,,,,,,,,Additional costs e.g.  investment in IT/home working,,Coronavirus Job Retention Scheme,,,,,,,,,,,3-4 months,2-3 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Disagree
No,Incorporated private sector organisation in the heritage sector,6-10,0,,,,,,Historic buildings (including industrial heritage sites),,,Places of worship,,,,,All English regions,,,,,,,,,,Loss or postponement of work,,,,Reduced opening/business hours,,,,Have had to furlough staff,,,Delayed payment by debtors,Coronavirus Job Retention Scheme,Deferring VAT and Self-Assessment payments,,,,Small business grant funding of £10000 for all business in receipt of small business rate relief or rural rate relief,,,,HMRC Time To Pay Scheme,,More than 6 months,1-2 months,High risk – without major intervention our business/organisation is unlikely to survive,Strongly agree
No,Other (please specify),1-5,0,Archaeology,,Community heritage,,Gardens and Landscapes,Historic buildings (including industrial heritage sites),,,Places of worship,Planning,Public parks,,,,,West Midlands,,,,,,,,Loss or postponement of work,,,Postponement/cancellation of planned income-generating or marketing events,,Supply chain problems,,,,,Additional costs e.g.  investment in IT/home working,,,,,,,,,,,,Awaiting further clarification of the Government support,Don’t know,Don’t know,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Neither agree nor disagree
No,Other (please specify),1-5,0,Archaeology,,Community heritage,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),,,Places of worship,Planning,,,,All English regions,,,,,,,,,,Loss or postponement of work,Business-critical staff absence,,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,Supply chain problems,Increased overheads,,Have had to furlough staff,,Additional costs e.g.  investment in IT/home working,Delayed payment by debtors,Coronavirus Job Retention Scheme,Deferring VAT and Self-Assessment payments,,,,Small business grant funding of £10000 for all business in receipt of small business rate relief or rural rate relief,,,,,Awaiting further clarification of the Government support,2-3 months,2-3 months,High risk – without major intervention our business/organisation is unlikely to survive,Disagree
No,Sole trader or Partnership dealing in heritage products or services,1-5,0,,,,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),,,Places of worship,,,,,,,,,,,,North East of England,,,Loss or postponement of work,,,,,,,,,,,,,Deferring VAT and Self-Assessment payments,Self-employment Income Support Scheme,,,,,,,,,1-2 months,1-2 months,High risk – without major intervention our business/organisation is unlikely to survive,Neither agree nor disagree
No,Sole trader or Partnership dealing in heritage products or services,11-20,0,,,,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),,,Places of worship,,,,,,,,,,,,,North West of England,,Loss or postponement of work,Business-critical staff absence,,,,Supply chain problems,,,Have had to furlough staff,,Additional costs e.g.  investment in IT/home working,Delayed payment by debtors,Coronavirus Job Retention Scheme,Deferring VAT and Self-Assessment payments,,Statutory Sick Pay relief package for small and medium sized businesses (SMEs),,,,,,,,More than 6 months,1-2 months,High risk – without major intervention our business/organisation is unlikely to survive,Agree
No,Other (please specify),101-500,101-500,,,Community heritage,Conservation Architecture/Project Management,Gardens and Landscapes,Historic buildings (including industrial heritage sites),Intangible (e.g. cultural traditions people’s memories dialects),Maritime and transport heritage,,Planning,Public parks,,,,,,,,,,,North West of England,,Loss or postponement of work,Business-critical staff absence,Lack of available volunteers,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,Supply chain problems,,Reduced visitor numbers,,,Additional costs e.g.  investment in IT/home working,,,,,,,,,,,,Awaiting further clarification of the Government support,Don’t know,Don’t know,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Agree
No,Incorporated private sector organisation in the heritage sector,101-500,Don’t know,Archaeology,Archives,,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),,Maritime and transport heritage,,Planning,,,,,,West Midlands,,London,South East of England,,,,,Loss or postponement of work,,,,,,,,Have had to furlough staff,,,,Coronavirus Job Retention Scheme,,,,,,,,,,,Don’t know,Don’t know,High risk – without major intervention our business/organisation is unlikely to survive,Agree
No,Charity or third sector organisation with a heritage purpose (not for profit),21-50,101-500,,,Community heritage,Conservation Architecture/Project Management,Gardens and Landscapes,Historic buildings (including industrial heritage sites),,,,,,,,,,,,,,,,,Yorkshire and the Humber,Loss or postponement of work,,,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,,,,Have had to furlough staff,,Additional costs e.g.  investment in IT/home working,Delayed payment by debtors,Coronavirus Job Retention Scheme,Deferring VAT and Self-Assessment payments,,,12-month business rates holiday for all retail hospitality leisure and nursery businesses in England,,,,,HMRC Time To Pay Scheme,,4-6 months,1-2 months,High risk – without major intervention our business/organisation is unlikely to survive,Neither agree nor disagree
Yes,Faith-based or church organisation,0 (entirely voluntary),21-50,Archaeology,Archives,Community heritage,Conservation Architecture/Project Management,Gardens and Landscapes,Historic buildings (including industrial heritage sites),Intangible (e.g. cultural traditions people’s memories dialects),,Places of worship,,,,,,,,East of England,,,,,,,,,Lack of available volunteers,Postponement/cancellation of planned income-generating or marketing events,,,,,,,,,,,,,,,,,,,Awaiting further clarification of the Government support,Don’t know,Don’t know,Minimal risk – we fully expect to be able to continue to operate,Agree
